	ISO-001	ISO-002	ISO-003	ISO-004	ISO-005	ISO-006	ISO-007	ISO-008	ISO-009	ISO-010	ISO-011	ISO-012	ISO-013	ISO-014	ISO-015	ISO-016	ISO-017	ISO-018	ISO-019	ISO-020	ISO-021	ISO-022	ISO-023	ISO-024	ISO-025	ISO-026	ISO-027	ISO-028	ISO-029	ISO-030	ISO-031	ISO-032	ISO-033	ISO-034	ISO-035	ISO-036	ISO-037	ISO-038	ISO-039	ISO-040	ISO-041	ISO-042	ISO-043	ISO-044	ISO-045	ISO-046	ISO-047
ISO-001	0	0	0	1	0	1	1	1	0	0	0	0	15	12	8	25	21	47	58	59	39	53	25	13	33	29	42	60	20	52	12	24	49	18	42	30	33	57	50	51	35	60	59	12	16	22	36
ISO-002	0	0	1	0	1	0	1	1	1	0	1	1	15	14	15	21	28	31	43	20	5	9	59	55	21	29	18	13	53	42	9	16	36	55	60	17	39	6	14	16	29	24	45	31	23	55	40
ISO-003	0	1	0	1	1	0	1	0	0	0	0	1	8	11	14	27	29	8	32	6	15	52	9	37	6	22	57	22	22	9	48	14	32	6	6	51	5	31	28	12	41	46	60	15	56	8	12
ISO-004	1	0	1	0	1	1	1	1	0	0	1	1	9	13	8	27	20	25	21	57	45	41	32	21	52	57	17	18	22	31	19	27	59	25	57	33	24	57	29	48	22	60	46	54	7	11	8
ISO-005	0	1	1	1	0	1	0	1	0	0	1	0	13	10	12	20	27	56	43	54	48	36	56	31	13	36	40	14	13	42	29	31	49	43	55	14	47	35	6	8	25	40	14	35	60	12	13
ISO-006	1	0	0	1	1	0	1	0	1	0	1	0	13	14	10	26	22	13	5	32	34	9	17	39	25	17	5	7	40	11	52	36	19	40	14	23	32	41	12	24	10	12	17	22	55	27	11
ISO-007	1	1	1	1	0	1	0	1	1	0	0	0	15	12	13	30	24	55	27	44	51	8	46	50	59	43	32	13	48	31	50	7	24	49	39	45	38	50	51	47	42	19	9	49	24	18	5
ISO-008	1	1	0	1	1	0	1	0	0	0	0	0	11	12	10	25	26	42	38	6	18	49	39	21	25	57	46	25	21	12	49	40	28	43	35	34	42	47	34	28	19	21	59	15	10	39	23
ISO-009	0	1	0	0	0	1	1	0	0	0	1	1	8	11	9	26	28	49	48	21	40	41	55	43	47	10	21	25	41	53	24	32	46	15	26	15	13	43	54	13	43	43	46	44	36	11	48
ISO-010	0	0	0	0	0	0	0	0	0	0	0	0	15	12	10	20	22	36	52	50	16	44	41	49	32	32	28	54	34	11	33	54	51	25	54	10	46	39	5	30	26	28	19	52	51	12	47
